Judul,Jenis Jurnal
Ketahanan Diri Pencipta Film Goyang Kubur di antara Film yang Lengah terhadap Goyangan Modal,penelitian
Ketrampilan Desain Ornamen Menuju Siswa yang Unggul dan Terampil pada MA Miftahul Huda Bulungan Jepara,penelitian
Keyphrase Extraction on Covid-19 Tweets Based on Doc2Vec and YAKE,penelitian
Klasifikasi Bunga Mawar Menggunakan Knn Dan Ekstraksi Fitur Glcm Dan Hsv,penelitian
Klasifikasi Citra Game Batu Kertas Gunting Menggunakan Convolutional Neural Network,penelitian
Klasifikasi Curah Hujan di Kota Semarang Menggunakan Machine Learning,penelitian
Klasifikasi Data Time series Arus Lalu Lintas Jangka Pendek Menggunakan Algoritma Adaboost dengan Random Forest,penelitian
Klasifikasi Jenis Laporan Masyarakat Dengan K-Nearest Neighbor Algorithm,penelitian
Klasifikasi jenis pemeliharaan dan perawatan container crane menggunakan algoritma machine learning,penelitian
Klasifikasi Penentuan Skema Uji Sertifikasi di LSP UDINUS bagi Mahasiswa Progdi Sistem Informasi dengan Algoritma Decision Tree (C4. 5),penelitian
KLASIFIKASI TINGKAT KERENTANAN MALARIA PADA SUATU WILAYAH MENGGUNAKAN NAÃ VE BAYES DATA MINING,penelitian
Koherensi Lintas Moda sebagai Upaya untuk Meningkatkan Kualitas Buku Digital Dwibahasa Budhara (Borobudur Dalam Hamparan Cerita),penelitian
Kolaborasi Teori Nielsen dan System Usability Scale (SUS) Usability Game Lokapala,penelitian
KOMBINASI AES-PVD DALAM KRIPTOGRAFI FILE VIDEO,penelitian
Kombinasi Least Significant Bit (LSB-1) Dan Rivest Shamir Adleman (RSA) Dalam Kriptografi Citra Warna,penelitian
Komparasi dan Implementasi Algoritma Regresi Machine Learning untuk Prediksi Indeks Harga Saham Gabungan,penelitian
Komparasi dan Implementasi Algoritma Regresi Machine Learning untuk Prediksi Indeks Harga Saham Gabungan,penelitian
Komparasi Filter Haar Dan Filter Daubechies Dalam Wavelet Transform Berbasis Singular Value Decomposition,penelitian
Komparasi Performa Metode 6to4 dan Kombinasi L2TPIPSec untuk Implementasi IPv6 pada Jaringan Komputer,penelitian
Komparasi Teknik Feature Selection Dalam Klasifikasi Serangan IoT Menggunakan Algoritma Decision Tree,penelitian
KOMUNIKASI ANTAR SUAMI ISTRI BAGI KESETARAAN GENDER DALAM PENGGUNAAN ALAT KONTRASEPSI,penelitian
KOMUNIKASI KEBIJAKAN DALAM PROGRAM PENGEMBANGAN PERTANIAN BERAS HITAM: ANALISIS NVIVO 11,penelitian
Komunikasi Verbal Non-Verbal Guru dan Orang Tua Pada Anak Tunarungu di SLB Negeri Semarang,penelitian
Konsep Algoritma Forward Chaining dan Faktor Kepastian untuk Mendiagnosa serta Pencarian Solusi Masalah Kulit Wajah,penelitian
Konsep dan Strategi Pengembangan Smart Regional (Smart City) Dalam Menghadapi Globalisasi Version 3.0 Dengan Menggunakan Metode PDCA & USEPDSA,penelitian
Konsep Kepemimpinan Pada Sosial Media Guna Menghasilkan Kategori,penelitian
Konten Edukasi Pengasuhan Anak Melalui Media Online Komunitas Parenting Keluargakita. Com,penelitian
Konten media edukasi anak berbasis self concept theory,penelitian
KRIPTOGRAFI VIGENERE UNTUK MENGAMANKAN PESAN TEKS BERBASIS OCR (OPTICAL CHARACTER RECOGNITION),penelitian
LDA Topic Analysis for Product Reviews in Social Media Platform,penelitian
LDA Topic Analysis for Product Reviews in Social Media Platform,penelitian
LDA Topic Analysis for Product Reviews in Social Media Platform,penelitian
LDA Topic Analysis for Product Reviews in Social Media Platform,penelitian
LDA Topic Analysis for Product Reviews in Social Media Platform,penelitian
Learning Through Play: Utilizing Board Games to Enhance English Vocabulary for Early Students,penelitian
Learning Vector Quantization for Robusta and Arabica Coffee Classification,penelitian
Linguistic Landscapes and Communication Strategies to Promote Cultural Heritage Tourism,penelitian
Linguistic Landscapes and Communication Strategies to Promote Cultural Heritage Tourism,penelitian
Literasi visual dalam proses berkarya mahasiswa desain,penelitian
"Literature review of automatic text summarization: research trend, dataset and method",penelitian
"Literature Review of Automatic Text Summarization: Research Trend, Dataset and Method",penelitian
"Literature Review of Automatic Text Summarization: Research Trend, Dataset and Method",penelitian
Literature Review: Relevance of Communication Anxiety in Early Childhood and Game Media,penelitian
Logika Fuzzy untuk Perilaku Dinamis pada Sistem Crafting dalam Game Pembelajaran Aritmatika,penelitian
Logika Fuzzy untuk Perilaku Dinamis pada Sistem Crafting dalam Game Pembelajaran Aritmatika,penelitian
Loyalty of m-wallet user from a service-dominant logic perspective,penelitian
LUTanh Activation Function to Optimize BI-LSTM in Earthquake Forecasting,penelitian
LUTanh Activation Function to Optimize BI-LSTM in Earthquake Forecasting,penelitian
LUTanh Activation Function to Optimize BI-LSTM in Earthquake Forecasting,penelitian
Malware Detection Using Decision Tree Algorithm Based on Memory Features Engineering,penelitian
Malware Detection Using K-Nearest Neighbor Algorithm and Feature Selection,penelitian
Melody difficulty classification using frequent pattern and inter-notes distance analysis,penelitian
Melody difficulty classification using frequent pattern and inter-notes distance analysis,penelitian
Membentuk Reputasi Ekonomi Kreatif Desa Menari melalui  Storytelling Omah Cikal Desa Ngrawan – Jawa Tengah,penelitian
MEMBERIKAN VARIASI KONTEN YOUTUBE DI TVKU MELAUI PERANCANGAN MEDIA IKLAN LAYANAN MASYARAKAT,penelitian
MEMBERIKAN VARIASI KONTEN YOUTUBE DI TVKU MELAUI PERANCANGAN MEDIA IKLAN LAYANAN MASYARAKAT,penelitian
Memperkenalkan sejarah dan nilai-nilai perayaan grebeg besar demak melaui perancangan game edukasi,penelitian
MEMPERKENALKAN SEJARAH DAN NILAI-NILAI PERAYAAN GREBEG BESAR DEMAK MELAUI PERANCANGAN GAME EDUKASI,penelitian
Mentoring Program in Talent Development at Sekolah Bisnis Muda (SBM) Bogor and Sekolah Muda Mandiri (SMM) Semarang,penelitian
MENUJU DIALOG DELIBERATIF RESOLUSI KONFLIK: SEBUAH STUDI KOMUNIKASI ANTARBUDAYA DI KAMPUNG ADAT JALASWATU,penelitian
Menumbuhkan Minat dan Keterampilan Produksi Film Dokumenter pada Generasi Muda Pelatihan pada Siswa-Siswi,penelitian
Message Hiding Using the Least Significant Bit Method with Shifting Hill Cipher Security,penelitian
Metaverse in Tourism as a Medium for Conservation of Maritime Area in Karimunjawa National Park,penelitian
Metaverse in Tourism as a Medium for Conservation of Maritime Area in Karimunjawa National Park,penelitian
Metode MICE Support Vector Machine (MICE-SVM) untuk Klasifikasi Performance Mahasiswa Merdeka Belajar Kampus Merdeka,penelitian
Metode PERT untuk Efektifitas Waktu pada Sistem Informasi Akuntansi Penjadwalan Penagihan Piutang Berbasis Client Server,penelitian
Metode Simple Additive Weighting untuk Penentu Peringkat Variabel Kepuasan Konsumen pada Layanan Jasa,penelitian
Metode Weighted Product Untuk Pendukung Keputusan Penilaian Pencemaran Udara Berdasarkan Limbah Gas dan Kualitas Udara Ambien,penelitian
Metode Weighted Product Untuk Pendukung Keputusan Penilaian Pencemaran Udara Berdasarkan Limbah Gas dan Kualitas Udara Ambien,penelitian
Migrating Virtual Machine in Heterogen and Homogen Cloud Data Center with Efficient Electricity Consumption Using Fuzzy C-Means,penelitian
Migrating Virtual Machine in Heterogen and Homogen Cloud Data Center with Efficient Electricity Consumption Using Fuzzy C-Means,penelitian
Mobile-Based Interactive Learning Media Design Using Augmented Reality Concepts,penelitian
Model appreciative learning untuk perancangan aktivitas dalam serious game mitigasi bencana,penelitian
Model Appreciative Learning untuk Perancangan Aktivitas dalam Serious Game Mitigasi Bencana,penelitian
Model appreciative learning untuk perancangan aktivitas dalam serious game mitigasi bencana,penelitian
Model dan Simulasi Alur Rantai Pasok Sampah Organik Menjadi Pakan Ternak Lele,penelitian
Model Konversi Notasi Kepatihan ke dalam Format MIDI untuk Pembangkitan Musik Barat Orisinal,penelitian
MODEL PEMBANGKITAN MELODI UNTUK MUSIK GAMELAN BERBASIS DEEP LEARNING,penelitian
Modified Deep Pattern Classifier on Indonesian Traditional Dance Spatio-Temporal Data,penelitian
Modified Film Form in Reference to Contextual 3-D Filmmaking: Challenging the Monopoly of Film Form and Dissemination of Knowledge in Indonesia,penelitian
Monkeypox and measles detection using CNN with VGG-16 transfer learning,penelitian
Monkeypox and measles detection using CNN with VGG-16 transfer learning,penelitian
Multi-Layer Perceptron For Diagnosing Stroke With The SMOTE Method In Overcoming Data Imbalances,penelitian
Natural automatic musical note player using time-frequency analysis on human play,penelitian
Natural automatic musical note player using time-frequency analysis on human play,penelitian
Natural Language Processing untuk Analisis Sentimen Presiden Jokowi Menggunakan Multi Layer Perceptron,penelitian
Negosiasi Identitas Peran Gender pada Film Bollywood,penelitian
"Neural Network based on GLCM, and CIE L*a*b* Color Space to Classify Tomatoes Maturity",penelitian
"Neural Network based on GLCM, and CIE L*a*b* Color Space to Classify Tomatoes Maturity",penelitian
New Workflow for Marine Fish Classification Based on Combination Features and CLAHE Enhancement Technique,penelitian
New Workflow for Marine Fish Classification Based on Combination Features and CLAHE Enhancement Technique,penelitian
Non-linear Multiclass SVM Classification Optimization using Large Datasets of Geometric Motif Image,penelitian
"Non-Playable Character (NPC) based on Behaviour Tree for Enhanced Immersive Experience in the Serious Game"" Warik's Adventure""",penelitian
Optimalisasi Fitur Pencarian Pada E-Catalog Menggunakan Query Expansion dan Algoritma TF-IDF  ,penelitian
Optimalisasi Pengelolaan Homestay Melalui Pelatihan Aplikasi SIMBOK-KU Berbasis Website dan Android pada Masyarakat Desa Candirejo yang ,penelitian
OPTIMALISASI POTENSI KARYA MAHASISWA MATA KULIAH GRAFIKA DKV MELALUI GALERI ONLINE,penelitian
Optimalisasi Umur Pemakaian AC Melalui Sistem Informasi Reminder Perawatan,penelitian
Optimasi Algoritma Random Forest menggunakan Principal Component Analysis untuk Deteksi Malware,penelitian
Optimasi Algoritma Random Forest menggunakan Principal Component Analysis untuk Deteksi Malware,penelitian
Optimasi Algoritma Random Forest menggunakan Principal Component Analysis untuk Deteksi Malware,penelitian
Optimasi Analisis Kesuburan Tanah dengan Pendekatan Soft Voting Ensemble,penelitian
Optimasi Investasi di Pasar Saham Indonesia Meningkatkan Keputusan Investasi dengan Prediksi IHSG menggunakan Decision Tree,penelitian
Optimasi Keamanan Watermarking pada Daubechies Transform Berbasis Arnold Cat Map,penelitian
Optimasi Keseimbangan Lintasan Perakitan Two-Sided Menggunakan Algoritma Simulated Annealing,penelitian
Optimasi K-means Clustering Dengan Menggunakan Particle Swarm Optimization Untuk Menentukan Jumlah Cluster Pada Kanker Serviks,penelitian
Optimasi K-means Clustering Dengan Menggunakan Particle Swarm Optimization Untuk Menentukan Jumlah Cluster Pada Kanker Serviks,penelitian
Optimasi Metode K-Nearest Neighbor Dengan Particle Swarm Optimization Untuk Pengenalan Citra Batik Dengan Ragam Hias Geometris,penelitian
Optimasi Metode K-Nearest Neighbor Dengan Particle Swarm Optimization Untuk Pengenalan Citra Batik Dengan Ragam Hias Geometris,penelitian
Optimasi Metode Support Vector Machine dengan Discrete Wavelet Transform Untuk Pengenalan Karakter Plat Nomor Kendaraan,penelitian
Optimasi Parameter K Pada Algoritma K-NN Untuk Klasifikasi Prioritas Bantuan Pembangunan Desa,penelitian
Optimasi Pola Pengasuhan Digital dalam Pemenuhan Kebutuhan Informasi,penelitian
Optimization Accuracy Value Of Agricultural Land Fertility Classification Using Soft Voting Method,penelitian
Optimization Of Classification Results By Minimizing Class Imbalance On Decision Tree Algorithm,penelitian
Optimization of cross diagonal pixel value differencing and modulus function steganography using edge area block patterns,penelitian
Optimization of Cross Diagonal Pixel Value Differencing and Modulus Function Steganography Using Edge Area Block Patterns,penelitian
Optimization of Discrete Wavelet Transform Based on Gray Level Co-occurrence Matrix (GLCM) and Principal Component Analysis (PCA) to Improve Features Extraction on Batik,penelitian
Optimization of Neural Network using Nelder Mead in Breast Cancer Classification,penelitian
Optimization of Neural Network using Nelder Mead in Breast Cancer Classification ,penelitian
Optimization of Polynomial Functions on the NuSVR Algorithm Based on Machine Learning Case Studies on Regression Datasets,penelitian
Optimization of Polynomial Functions on the NuSVR Algorithm Based on Machine Learning: Case Studies on Regression Datasets,penelitian
Optimization of Polynomial Functions on the NuSVR Algorithm Based on Machine Learning: Case Studies on Regression Datasets,penelitian
"Optimizing Business Ability Prediction Using Random Forest, Case Study: Fabric Company in Indonesia",penelitian
"Optimizing Business Ability Prediction Using Random Forest, Case Study: Fabric Company in Indonesia",penelitian
Optimizing Classification Algorithms Using Soft Voting: A Case Study on Soil Fertility Dataset,penelitian
Optimizing Digital Image Steganography through Hybridization of LSB and Zstandard Compression,penelitian
OPTIMIZING RAW MATERIAL INVENTORY MANAGEMENT OF MSME PRODUCT USING EXTREME GRADIENT BOOSTING (XGBOOST) REGRESSOR ALGORITHM: A SALES PREDICTION APPROACH,penelitian
Pacing-based Procedural Dungeon Level Generation: Alternating Level Creation to Meet Designer’s Expectations,penelitian
PANSER BIRU SUPPORTERS STRATEGIES AND SUPPORT FOR PSIS SEMARANG FOOTBALL CLUB,penelitian
Parking Lots Detection in Static Image Using Support Vector Machine Based on Genetic Algorithm,penelitian
Pattern Recognition on Vehicle Number Plates Using a Fast Match Algorithm,penelitian
Pelacakan Dan Segmentasi Objek Bergerak Menggunakan  Metode K-Means Clustering Berbasis Variasi Jarak,penelitian
PELATIHAN DAN SIMULASI DATA MINING PADA SMA NEGERI 3 SEMARANG,penelitian
Pelatihan Desain Foto dan Katalog Produk Bank Sampah Pentul Asri Semarang,penelitian
Pelatihan Pembuatan Video Storytelling Melaui Media Sosial Tiktok Terkait Produk Makanan Lokal Di Desa Wisata Karangrejo ,penelitian
Pelatihan Peningkatan Ketrampilan Desain dan Layout Buku Elektronik bagi Guru dan Dosen,penelitian
PELATIHAN PRODUKSI KONTEN KOMUNIKASI KESEHATAN UNTUK MEDIA SOSIAL BAGI PEGAWAI PUSKESMAS SE KOTA SEMARANG,penelitian
Pelatihan Software bagi Komunitas Jurnalisme Warga Semarang,penelitian
Pelatihan Untuk Meningkatkan Market Segmentation Kelompok UMKM di Kota Salatiga,penelitian
PELATIHAN UNTUK MENINGKATKAN PENGETAHUAN PENULISAN KARYA ILMIAH PADA SMA NEGERI 3 SEMARANG,penelitian
Pemanfaatan Media E-Learning Sebagai Pendukung Pembelajaran Bagi Guru – Guru SMP N 30 Semarang,penelitian
PEMANFAATAN TEKNOLOGI AUGMENTED REALITY SEBAGAI MEDIA PENGENALAN SEJARAH GEREJA BLENDUK SEMARANG,penelitian
Pemanfaatan Topic-Focused Crawler untuk Pembangunan Corpus Berita Bencana menggunakan Teknik Scrapy CSS Selector,penelitian
PEMBANGUNAN APLIKASI PEMODELAN DIAGRAM KELAS UNTUK PEMBELAJARAN UNIFIED MODELING LANGUAGE,penelitian
Pembangunan Aplikasi Web sebagai Media Edukasi Pernikahan Pasangan Muda menggunakan Metode Prototyping,penelitian
Pembangunan Aplikasi Web sebagai Media Edukasi Pernikahan Pasangan Muda menggunakan Metode Prototyping  ,penelitian
Pemberdayaan Karang Taruna dalam Pembuatan E-Katalog Kampung Tematik Kota Semarang,penelitian
Pemberdayaan Karang Taruna dalam Pembuatan E-Katalog Kampung Tematik Kota Semarang,penelitian
Pembuatan Aplikasi Learning Management System Berbasis Website Dengan Memanfaatkan Metode User Experience Di SMP Negeri 3 Demak,penelitian
Pemilihan Fitur Menggunakan Algoritma Chi-Square Dan Particle Swarm Optimization (PSO) Untuk Meningkatkan Kinerja Deep Neural Network Pada Deteksi Penyakit Diabetes,penelitian
Pemodelan SCRUM dalam Pengembangan Sistem Informasi Kesehatan pada Klinik Ar-Rokhim Sragen Kabupaten Sragen,penelitian
Pencapaian Media Digital dalam Penanaman Karakter Progam Studi Unggulan (Studi Kasus Program Studi Desain Komunikasi Visual Universitas Dian Nuswantoro),penelitian
Pencapaian Media Digital dalam Penanaman Karakter Progam Studi Unggulan (Studi Kasus Program Studi Desain Komunikasi Visual Universitas Dian Nuswantoro),penelitian
Penciptaan Video Promosi “Wana Wisata Hutan Pinus Ngilmut”,penelitian
"Pendampingan Pembuatan Media Pembelajaran Berbasis Multimedia Bagi Guru SD
Negeri Pedurungan Kidul 02 Semarang",penelitian
Pendekatan AISAS Dalam Post Instagram Carousel Sebagai Strategi Promosi Pada Museum Ranggawarsita,penelitian
Pendekatan AISAS Dalam Post Instagram Carousel Sebagai Strategi Promosi Pada Museum Ranggawarsita,penelitian
PENDEKATAN KOMUNIKASI SMCR DALAM PERANCANGAN PERMAINAN BOARD GAME ULAR TANGGA “POSTCOV” UNTUK UPAYA MEMBANTU TRAUMA HEALING ANAK PADA PANDEMI COVID-19,penelitian
Penentuan Centroid Awal Pada Algoritma K-Means Dengan Dynamic Artificial Chromosomes Genetic Algorithm Untuk Tuberculosis Dataset,penelitian
PENENTUAN PARAMETER DISTRIBUSI PADA METODE CLAHE UNTUK MENINGKATKAN KUALITAS OBJEK BAWAH AIR,penelitian
"Penentuan Prioritas Penerima Dana Bantuan Operasional Pendidikan Lembaga Pendidikan Anak Usia Dini dengan Metode KNN, TOPSIS dan K-Means",penelitian
PENERAPAN ADABOOST UNTUK METODE NAIVE BAYES DALAM MENGKLASIFIKASI KUALITAS PEMBIAYAAN NASABAH BANK,penelitian
Penerapan Algorithma Backtracking Dalam Menyelesaikan Permainan Knight Tour,penelitian
Penerapan algoritma Naive Bayes dan forward selection dalam pengklasifikasian status gizi stunting pada Puskesmas Pandanaran Semarang,penelitian
Penerapan Aplikasi Pengelolaan Data Penduduk Internal Kelurahan (Sipendik) di Kelurahan Panggung Lor Semarang,penelitian
Penerapan Arsitektur Enterprise pada Pelayanan Pendaftaran Anggota pada Fitnation Premiere Gym,penelitian
PENERAPAN HASIL PENELITIAN APLIKASI GAME LISTENING BAHASA INGGRIS BAGI SISWA SMA MARDISISWA SEMARANG,penelitian
Penerapan K-Nearest Neighbors (KNN) untuk Klasifikasi Aset dalam Upaya Menentukan Aset Wakaf Produktif,penelitian
Penerapan K-Nearest Neighbors (KNN) untuk Klasifikasi Aset dalam Upaya Menentukan Aset Wakaf Produktif,penelitian
Penerapan Metode K-Means Clustering Dalam Menganalisis Sentimen Masyarakat Terhadap K-Popers Pada Twitter,penelitian
PENERAPAN METODE PROFILE MATCHING UNTUK MANAJEMEN EVALUASI TUMBUH KEMBANG ANAK,penelitian
Penerapan Metode SAW untuk Perancangan SPK Penerimaan Karyawan Di PT Pinnacle Apparels,penelitian
Penerapan Model Pembelajaran Aktif Tipe Card Sort Terhadap Hasil Belajar IPS Pada Siswa Kelas IV,penelitian
Penerapan Random Forest Untuk Pengenalan Jenis Ikan Berdasarkan Perbaikan Citra Clahe Dan Dark Channel Prior,penelitian
Penerapan Random Forest Untuk Pengenalan Jenis Ikan Berdasarkan Perbaikan Citra Clahe Dan Dark Channel Prior,penelitian
Penerapan User-Centered Design pada Sistem Informasi Dewan Masjid Indonesia (DMI) Kota Semarang Berbasis Web untuk Mengelola Potensi Masjid Kota Semarang,penelitian
Pengalaman Orang Tua Dalam Proses Pendampingan Pembelajaran Daring di Masa Pandemi,penelitian
Pengamanan Data Kombinasi Metode Cipher Block Chaining dan Modifikasi LSB,penelitian
Pengamanan Data Kombinasi Metode Cipher Block Chaining dan Modifikasi LSB,penelitian
Pengambilan Data Pasien Stroke Menggunakan Sinyal EEG Sebagai Informasi Pengambilan Keputusan Melakukan Tindak Lanjut Rehabilitasi,penelitian
Pengambilan Keputusan Pengendalian Persediaan Bahan Baku Kedelai pada UKM Tempe Hartini Dengan Metode Simple Additive Weighting,penelitian
"Pengaruh Digital Marketing, Goldilock Effect, dan Loyalitas Pelanggan Terhadap Keputusan Pembelian Online Pengguna Aplikasi Matahari",penelitian
Pengaruh Iklim Komunikasi Organisasi Terhadap Kinerja Pegawai,penelitian
Pengaruh text preprocessing dan kombinasinya pada peringkas dokumen otomatis teks berbahasa Indonesia,penelitian
PENGEMBANGAN  MODEL  ANALISA  DISKUSI  TOPIC  PRODUK MENGGUNAKAN  LATENT  DIRICHLET  ALLOCATION  PADA PLATFORM YOUTUBE,penelitian
Pengembangan Animasi Keterampilan Berbicara Bahasa Inggris dengan Multimedia Development Life Cycle Godfrey,penelitian
Pengembangan Animasi Keterampilan Berbicara Bahasa Inggris dengan Multimedia Development Life Cycle Godfrey,penelitian
Pengembangan Aplikasi Dewan Masjid Indonesia (DMI) Berbasis Ekonomi Umat Dengan Metode Waterfall,penelitian
PENGEMBANGAN APLIKASI DEWAN MASJID INDONESIA (DMI) BERBASIS EKONOMI UMAT DENGAN METODE WATERFALL,penelitian
Pengembangan Aplikasi E-Marketplace UMKM Sektor Perikanan Menggunakan Metode Rapid Application Development,penelitian
Pengembangan Aplikasi Evaluasi KegiatanBerbasis Android menggunakan Metode RAD (Rapid Application Development),penelitian
Pengembangan Aplikasi Indeks Pengukuran Kinerja Pada Institusi Pendidikan Tinggi Menggunakan Framework It Infrastructure Library (Itil),penelitian
Pengembangan Aplikasi Penentuan Status Gizi dengan Pendekatan Fuzzy Tahani Berbasis Web,penelitian
PENGEMBANGAN APLIKASI PENJADWALAN RAPAT MENGGUNAKAN METODE PHASED DEVELOPMENT,penelitian
Pengembangan Aplikasi Penyewaan Mobil Menggunakan Metode Prototyping dengan Online Payment Gateway Midtrans ,penelitian
Pengembangan Aplikasi Telemedicine Carevul Sebagai Optimalisasi Pelayanan Kesehatan Berbasis Cloud,penelitian
Pengembangan Chatbot Kesehatan Mental Menggunakan Algoritma Long Short-Term Memory,penelitian
Pengembangan dan Implementasi Docker untuk memaksimalkan utilitas Server Universitas pada Masa COVID-19,penelitian
Pengembangan Desain Board Game sebagai Media Inovatif untuk Pelaksanaan Materi Senam Lantai,penelitian
Pengembangan Desain Karakter Komik Warak Ngendog Berbasis Nilai-Nilai Kearifan Lokal,penelitian
Pengembangan Desain Web Interaktif Kuliner Nusantara Berbasis Kearifan Lokal Kedaerahan (Studi Kasus Kuliner Khas Kabupaten Kudus),penelitian
Pengembangan Desain Web Senitembaga. com sebagai Sarana Promosi Sentra Kerajinan Tembaga Tumang Boyolali,penelitian
Pengembangan Desain Web Senitembaga. com sebagai Sarana Promosi Sentra Kerajinan Tembaga Tumang Boyolali,penelitian
Pengembangan Integrated Ticketing System dengan Framework Scrum untuk Meningkatkan Transparansi Pengelolaan Wisata Pantai Pasir Kencana,penelitian
Pengembangan Kemampuan Komunikasi Keluargauntuk Kader Jppa Kelurahan Sadeng dalam Mewujudkan Kota Layak Anak,penelitian
Pengembangan Kemampuan Komunikasi Keluargauntuk Kader Jppa Kelurahan Sadeng dalam Mewujudkan Kota Layak Anak,penelitian
Pengembangan Media Pembelajaran Audio Visual Berbasis Website Canva Pada Mata Pelajaran IPAS Topik Perkembangbiakan Tumbuhan di Kelas IV Sekolah Dasar,penelitian
Pengembangan Media Visual Scrapbook Pada Tema Peristiwa Dalam Kehidupan Di Kelas V SDN Sukasaba 1 Pandeglang,penelitian
PENGEMBANGAN MODEL ANALISA DISKUSI TOPIC PRODUK MENGGUNAKAN LATENT DIRICHLET ALLOCATION PADA PLATFORM YOUTUBE,penelitian
PENGEMBANGAN MODEL ANALISA PELANGGAN MENGGUNAKAN CUSTOMER LIFETIME VALUE,penelitian
PENGEMBANGAN MODEL ANALISA PELANGGAN MENGGUNAKAN CUSTOMER LIFETIME VALUE,penelitian
Pengembangan Motif Tenun Troso Berbasis Komputer Grafis,penelitian
Pengembangan Motif Tenun Troso Berbasis Komputer Grafis,penelitian
Pengembangan Sistem Aplikasi Literasi Membaca menggunakan Metode Extreme Programming ,penelitian
Pengembangan Sistem Informasi Fee Streamer Berbasis Web Pada Shark Agency Dengan Pendekatan Extreme Programming,penelitian
Pengembangan Sistem Klasifikasi Karakteristik Siswa Berbasis Website dengan menggunakan Algoritma C4. 5,penelitian
Pengembangan video animasi berbasis animaker pada tema daerah tempat tinggalku di kelas IV SDN Banjarsari 2 Kota Serang,penelitian
Pengenalan Ekspresi Wajah Menggunakan Transfer Learning MobileNetV2 dan EfficientNet-B0 dalam Memprediksi Perkelahian ,penelitian
Pengenalan Objek Kendaraan Bermotor Berbasis Framework YOLO Dengan Metode Convolutional Neural Network,penelitian
Pengenalan Objek Kendaraan Bermotor Berbasis Framework YOLO Dengan Metode Convolutional Neural Network ,penelitian
Pengenalan Perangkat Lunak LaTex Sebagai Media Alternatif Penulisan Buku Ajar Bagi Guru,penelitian
Pengenalan Sistem Aquaponik Cerdas untuk Memfasilitasi Kemampuan Mandiri pada Siswa Berkebutuhan Khusus di SLB,penelitian
Pengenalan Tanda Tangan Menggunakan Learning Vector Quantization dan Ekstraksi Fitur Local Binary Pattern ,penelitian
Penggunaan Algoritme FP-Growth Untuk Mengetahui Pola Pembelian di Toko Kelontong,penelitian
Penggunaan Algoritme FP-Growth Untuk Mengetahui Pola Pembelian di Toko Kelontong,penelitian
PenggunaanTikTokSebagaiPersonalBranding BenjaminMasterAdhisurya(iben_ma),penelitian
"Pengujian Usability Website Tenun"" Kamenz"" Troso Jepara Menggunakan Metode Webuse",penelitian
Pengungkapan Diri Pengguna Akun Autobase Twitter@ Subtanyarl,penelitian
Peningkatan Akurasi Pembobotan Attribute Importance Weights pada Deteksi Fraud,penelitian
Peningkatan Algoritma C4. 5 Berbasis PSO Pada Penyakit Kanker Payudara,penelitian
Peningkatan Algoritma C4. 5 Berbasis PSO Pada Penyakit Kanker Payudara,penelitian
Peningkatan Deep Neural Network pada Kasus Prediksi Diabetes Menggunakan PSO,penelitian
Peningkatan Fitur Ekstraksi Berbasis Discrete Wavelet Transform dan Principal Component Analysis Pada Pengenalan Citra Batik,penelitian
Peningkatan Fitur Ekstraksi Berbasis Discrete Wavelet Transform dan Principal Component Analysis Pada Pengenalan Citra Batik,penelitian
Peningkatan Kemampuan Menghafal Al Qur’an Melalui Metode Talaqqi Kelompok Anak Paud Tahfizh Qur'an Al Bilad,penelitian
Peningkatan Performa Ensemble Learning pada Segmentasi Semantik Gambar dengan Teknik Oversampling untuk Class Imbalance,penelitian
Peningkatan Urgensi Daerah Rawan Bencana melalui Analisis Geoparsing pada Berita Kebencanaan dengan Text Mining,penelitian
Peningkatan Usability Point of Sales (PoS) Berbasis Human Centered Design (HCD),penelitian
PENINGKATAN USER EXPERIENCEMELALUI REKOMENDASI DESAIN USER INTERFACEPADA WEBSITE LAPOR HENDI,penelitian
PENINGKATAN USER EXPERIENCEMELALUI REKOMENDASI DESAIN USER INTERFACEPADA WEBSITE LAPOR HENDI,penelitian
Penyuluhan Game & Psikologi 1.0 Pada SMA Negeri 3 Semarang,penelitian
PENYULUHAN GAME & PSIKOLOGI 2.0 KEPADA PESERTA DIDIK DAN GURU,penelitian
PENYULUHAN GAME & PSIKOLOGI 2.0 KEPADA PESERTA DIDIK DAN GURU,penelitian
PENYULUHAN GAME & PSIKOLOGI 2.0 KEPADA PESERTA DIDIK DAN GURU,penelitian
PENYULUHAN GAME & PSIKOLOGI 2.0 KEPADA PESERTA DIDIK DAN GURU,penelitian
Peramalan Harga Saham Serentak Menggunakan Model Multivariate Singular Spectrum Analysis,penelitian
Peran Brand Image Sebagai Strategi Komunikasi Pemasaran Iklan Kecik Harian Suara Merdeka,penelitian
Peran Forum Diskusi Sebagai Media Interaktivitas Mahasiswa Dalam Pembelajaran Online Kulino Berbasis Moodle,penelitian
Peran Forum Diskusi Sebagai Media Interaktivitas Mahasiswa Dalam Pembelajaran Online Kulino Berbasis Moodle,penelitian
PERAN KOMUNIKASI ANTARA KARYAWAN DENGAN CUSTOMER DALAM MENCIPTAKAN CUSTOMER LOYALTY TITIK DUA KOPI KEDUNGMUNDU,penelitian
